District,EAST,NORTH,Plot_names,Total_C_ha,Year,Zone,Mean_Temp_yr,Mean_D_R,Isothermality,Temp_Seasnoality,Max_Temp_Warmest_Month,Min_Temp_Coldest_Month,Temp_Range_yr,Mean_Temp_Wattest_Q,Mean_Temp_Driest_Q,Mean_Tem_Warmest_Q,Mean_Temp_Coldest_Q,Prec_yr,Prec_Wattest_Month,Prec_Driest_Month,Prec_Seasonality,Prec_Wattest_Q,Prec_Driest_Q,Prec_Warmest_Q,Prec_Coldest_Q
Mawlaik,688000,2718000,N2718000E688000,413.6158005,2014,46,267,114,48,2511,381,146,235,271,231,298,231,1327,260,1,91,728,12,186,12
Katha,790001,2717997,N2717997E790001,88.08987465,2015,46,266,114,48,2515,380,145,235,270,230,296,230,1344,263,1,91,740,12,187,12
Katha,773998,2717998,N2717998E773998,201.5337481,2015,46,267,114,48,2527,381,146,235,271,231,298,231,1342,264,1,92,739,12,187,12
Mawlaik,680000,2714000,N2714000E680000,391.7902269,2014,46,267,114,48,2505,381,145,236,270,231,297,231,1319,256,1,91,721,12,186,12
Khamti,731000,2713000,N2713000E731000,155.3391073,2014,46,268,114,48,2541,382,146,236,272,231,299,231,1315,257,1,91,720,12,185,12
Katha,772001,2717999,N2717999E772001,196.3308284,2015,46,267,114,48,2522,381,145,236,271,231,298,231,1316,257,1,91,719,12,186,12
Katha,781998,2713002,N2713002E781998,86.29875024,2015,46,266,114,48,2523,380,144,236,270,230,297,230,1265,242,1,89,679,12,186,12
Tamu,660000,2718000,N2718000E660000,166.2883435,2014,46,266,114,48,2537,379,143,236,270,229,296,229,1270,244,1,90,684,11,187,11
Katha,789997,2726002,N2726002E789997,143.2619388,2015,46,265,114,48,2518,378,143,235,269,229,295,229,1290,249,1,90,697,11,189,11
Katha,761999,2726015,N2726015E761999,122.410979,2015,46,265,114,48,2539,379,143,236,269,229,295,229,1284,248,1,89,693,11,189,11
Khamti,701999,2742002,N2742002E701999,100.9722085,2014,46,261,114,48,2488,374,139,235,265,225,291,225,1273,241,1,88,678,11,193,11
Katha,768002,2742000,N2742000E768002,254.7272863,2015,46,263,114,48,2514,376,141,235,267,227,293,227,1303,251,1,90,703,12,191,12
Khamti,762000,2742000,N2742000E762000,123.0830173,2014,46,266,114,48,2499,379,145,234,270,231,297,231,1341,264,1,91,735,12,190,12
Katha,787997,2726002,N2726002E787997,134.1370162,2015,46,266,114,48,2503,379,144,235,270,230,296,230,1333,261,1,91,729,12,188,12
Khamti,760000,2742000,N2742000E760000,90.20657509,2014,46,267,113,48,2491,380,146,234,271,231,297,231,1356,269,1,91,748,13,189,13
Katha,785998,2754002,N2754002E785998,72.92246467,2015,46,265,113,48,2467,378,144,234,269,229,295,229,1358,268,1,91,746,12,191,12
Katha,770034,2754971,N2754971E770034,75.39888065,2015,46,266,114,48,2489,380,145,235,270,231,296,231,1360,270,1,91,749,12,191,12
Khamti,764000,2768000,N2768000E764000,88.31289935,2014,46,266,113,48,2503,379,145,234,270,230,296,230,1371,273,1,92,757,12,191,12
